CrimeDate,CrimeCode,Location,Description,Weapon,District,Neighborhood
01/01/2012,4A,500 CHATEAU AV,AGG. ASSAULT,FIREARM,NORTHERN,Winston-Govans
01/01/2012,4E,2200 W NORTH AV,COMMON ASSAULT,HANDS,WESTERN,Coppin Heights/Ash-Co-Eas
01/01/2012,4E,0 S LINWOOD AV,COMMON ASSAULT,HANDS,SOUTHEASTERN,Patterson Park Neighborho
01/01/2012,6D,5600 LOCH RAVEN BD,LARCENY FROM AUTO,,NORTHEASTERN,Loch Raven
01/01/2012,6D,6300 PIONEER DR,LARCENY FROM AUTO,,NORTHEASTERN,Hamilton Hills
01/01/2012,6D,6200 PLYMOUTH RD,LARCENY FROM AUTO,,NORTHEASTERN,Hamilton Hills
01/01/2012,4E,500 N GLOVER ST,COMMON ASSAULT,HANDS,SOUTHEASTERN,McElderry Park
01/01/2012,4E,4900 GOODNOW RD,COMMON ASSAULT,HANDS,NORTHEASTERN,Frankford
01/01/2012,5C,100 PILGRIM LANDING,BURGLARY,,SOUTHERN,Federal Hill
01/01/2012,5C,4400 FRANKFORD AV,BURGLARY,,NORTHEASTERN,Frankford
01/01/2012,5C,1300 RICHARDSON ST,BURGLARY,,SOUTHERN,Locust Point
01/01/2012,4C,500 LONEYS LA,AGG. ASSAULT,OTHER,SOUTHEASTERN,Ellwood Park/Monument
01/01/2012,4E,1500 GORSUCH AV,COMMON ASSAULT,HANDS,NORTHEASTERN,Coldstream Homestead Mont
01/01/2012,6C,600 E 33RD ST,LARCENY,,NORTHERN,Better Waverly
01/01/2012,4C,400 E BALTIMORE ST,AGG. ASSAULT,OTHER,CENTRAL,Downtown
01/01/2012,6D,1400 STEVENSON ST,LARCENY FROM AUTO,,SOUTHERN,Locust Point Industrial A
01/01/2012,6D,1300 LOWMAN ST,LARCENY FROM AUTO,,SOUTHERN,Locust Point Industrial A
01/01/2012,5B,1300 SARGEANT ST,BURGLARY,,SOUTHERN,Washington Village/Pigtow
01/01/2012,4E,300 N HIGHLAND AV,COMMON ASSAULT,HANDS,SOUTHEASTERN,Baltimore Highlands
01/01/2012,5D,3700 CRANSTON AV,BURGLARY,,SOUTHWESTERN,Edgewood
01/01/2012,4C,2000 GRINNALDS AV,AGG. ASSAULT,OTHER,SOUTHWESTERN,Morrell Park
01/01/2012,4E,500 N ELLWOOD AV,COMMON ASSAULT,HANDS,SOUTHEASTERN,Ellwood Park/Monument
