ReferenceID,Block,Lot,BuildingAddress,NoticeDate,Neighborhood,PoliceDistrict,CouncilDistrict,Location
0002 019 031016,0002,019,1909 W NORTH AVE,03/10/2016,EASTERWOOD,WESTERN,7,"(39.30952601, -76.64848892)"
0007 057 031116,0007,057,1734 APPLETON ST,03/11/2016,EASTERWOOD,WESTERN,7,"(39.30856758, -76.64921157)"
0125 012 030816,0125,012,522 N CAREY ST,03/08/2016,HARLEM PARK,WESTERN,9,"(39.29482152, -76.63877572)"
0151 009 030716,0151,009,317 N GILMOR ST,03/07/2016,FRANKLIN SQUARE,WESTERN,9,"(39.29261888, -76.64231678)"
0074 010 030918,0074,010,945 N MOUNT ST,03/09/2018,Sandtown-Winchester,Western,9,"(39.29975212, -76.64415784)"
0275 060 030716,0275,060,319 S MONROE ST,03/07/2016,CARROLLTON RIDGE,SOUTHERN,9,"(39.28383911, -76.64647246)"
0206 035 031418,0206,035,2023 W BALTIMORE ST,03/14/2018,Boyd-Booth,Southwestern,9,"(39.28783131, -76.64939781)"
0599 008 031116,0599,008,235 PARK AVE,03/11/2016,DOWNTOWN,CENTRAL,11,"(39.29280154, -76.6178644)"
0767 117 030816,0767,117,1329 SARGEANT ST,03/08/2016,WASHINGTON VILLAGE/PIGTOWN,SOUTHERN,10,"(39.28035426, -76.63645611)"
0206 049 031418,0206,049,8 S PAYSON ST,03/14/2018,Boyd-Booth,Southwestern,9,"(39.2875711, -76.64891445)"
0207 047 031418,0207,047,1905 W BALTIMORE ST,03/14/2018,Boyd-Booth,Southwestern,9,"(39.28789672, -76.64717506)"
0215 030 031418,0215,030,1326 HOLLINS ST,03/14/2018,Union Square,Southern,9,"(39.2878181, -76.63895877)"
0219 023 031418,0219,023,3 S SCHROEDER ST,03/14/2018,Hollins Market,Southern,9,"(39.28848956, -76.63356746)"
0855 008 030816,0855,008,622 ARCHER ST,03/08/2016,WASHINGTON VILLAGE/PIGTOWN,SOUTHERN,10,"(39.28160587, -76.63017981)"
